instance_id	repo	difficulty	tier
astropy__astropy-12907	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-13033	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-13236	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-13398	astropy/astropy	1-4 hours	hard
astropy__astropy-13453	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-13579	astropy/astropy	1-4 hours	hard
astropy__astropy-13977	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14096	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14182	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14309	astropy/astropy	<15 min fix	easy
astropy__astropy-14365	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14369	astropy/astropy	1-4 hours	hard
astropy__astropy-14508	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14539	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14598	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-14995	astropy/astropy	<15 min fix	easy
astropy__astropy-7166	astropy/astropy	<15 min fix	easy
astropy__astropy-7336	astropy/astropy	<15 min fix	easy
astropy__astropy-7606	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-7671	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-8707	astropy/astropy	15 min - 1 hour	medium
astropy__astropy-8872	astropy/astropy	15 min - 1 hour	medium
django__django-10097	django/django	<15 min fix	easy
django__django-10554	django/django	1-4 hours	hard
django__django-10880	django/django	<15 min fix	easy
django__django-10914	django/django	<15 min fix	easy
django__django-10973	django/django	15 min - 1 hour	medium
django__django-10999	django/django	<15 min fix	easy
django__django-11066	django/django	<15 min fix	easy
django__django-11087	django/django	15 min - 1 hour	medium
django__django-11095	django/django	15 min - 1 hour	medium
django__django-11099	django/django	<15 min fix	easy
django__django-11119	django/django	<15 min fix	easy
django__django-11133	django/django	<15 min fix	easy
django__django-11138	django/django	1-4 hours	hard
django__django-11141	django/django	15 min - 1 hour	medium
django__django-11149	django/django	15 min - 1 hour	medium
django__django-11163	django/django	<15 min fix	easy
django__django-11179	django/django	<15 min fix	easy
django__django-11206	django/django	15 min - 1 hour	medium
django__django-11211	django/django	15 min - 1 hour	medium
django__django-11239	django/django	<15 min fix	easy
django__django-11265	django/django	15 min - 1 hour	medium
django__django-11276	django/django	15 min - 1 hour	medium
django__django-11292	django/django	15 min - 1 hour	medium
django__django-11299	django/django	<15 min fix	easy
django__django-11333	django/django	15 min - 1 hour	medium
django__django-11400	django/django	1-4 hours	hard
django__django-11433	django/django	<15 min fix	easy
django__django-11451	django/django	<15 min fix	easy
django__django-11477	django/django	15 min - 1 hour	medium
django__django-11490	django/django	<15 min fix	easy
django__django-11532	django/django	15 min - 1 hour	medium
django__django-11551	django/django	15 min - 1 hour	medium
django__django-11555	django/django	<15 min fix	easy
django__django-11603	django/django	<15 min fix	easy
django__django-11728	django/django	15 min - 1 hour	medium
django__django-11734	django/django	15 min - 1 hour	medium
django__django-11740	django/django	15 min - 1 hour	medium
django__django-11749	django/django	15 min - 1 hour	medium
django__django-11790	django/django	15 min - 1 hour	medium
django__django-11815	django/django	15 min - 1 hour	medium
django__django-11820	django/django	<15 min fix	easy
django__django-11848	django/django	15 min - 1 hour	medium
django__django-11880	django/django	<15 min fix	easy
django__django-11885	django/django	1-4 hours	hard
django__django-11951	django/django	<15 min fix	easy
django__django-11964	django/django	<15 min fix	easy
django__django-11999	django/django	15 min - 1 hour	medium
django__django-12039	django/django	15 min - 1 hour	medium
django__django-12050	django/django	15 min - 1 hour	medium
django__django-12125	django/django	<15 min fix	easy
django__django-12143	django/django	15 min - 1 hour	medium
django__django-12155	django/django	15 min - 1 hour	medium
django__django-12193	django/django	<15 min fix	easy
django__django-12209	django/django	<15 min fix	easy
django__django-12262	django/django	15 min - 1 hour	medium
django__django-12273	django/django	15 min - 1 hour	medium
django__django-12276	django/django	<15 min fix	easy
django__django-12304	django/django	<15 min fix	easy
django__django-12308	django/django	<15 min fix	easy
django__django-12325	django/django	1-4 hours	hard
django__django-12406	django/django	15 min - 1 hour	medium
django__django-12419	django/django	<15 min fix	easy
